ticker,date,open,high,low,close
GAL,2022-05-14,6.61174,6.61174,6.51326,6.52124
GAL,2022-05-15,6.30216,7.43558,6.09945,7.0658
GAL,2022-05-16,7.0648,7.38886,5.78731,6.10805
GAL,2022-05-17,6.146,6.86176,5.81643,6.35772
GAL,2022-05-18,6.35772,6.74989,5.29564,5.55577
GAL,2022-05-19,5.56875,6.31768,5.00848,6.0949
GAL,2022-05-20,6.0929,6.37362,5.37454,5.60427
GAL,2022-05-21,5.62025,6.30779,5.47143,6.16897
GAL,2022-05-22,6.16697,7.16939,5.80245,6.69895
GAL,2022-05-23,6.69995,7.14214,5.90391,5.98681
GAL,2022-05-24,5.98321,6.06432,5.44401,5.97922
GAL,2022-05-25,5.9912,6.04174,5.61681,5.74809
GAL,2022-05-26,5.74887,5.75429,4.40459,4.62237
GAL,2022-05-27,4.61938,4.99001,4.11988,4.38217
GAL,2022-05-28,4.37297,4.82664,4.35803,4.71048
GAL,2022-05-29,4.70649,4.88362,4.2557,4.64688
GAL,2022-05-30,4.64983,5.3953,4.54717,5.12789
GAL,2022-05-31,5.12441,5.6205,4.74468,4.83113
GAL,2022-06-01,4.83613,5.08293,4.31425,4.438
GAL,2022-06-02,4.43471,4.6661,4.24877,4.57568
GAL,2022-06-03,4.57898,4.64961,4.23537,4.41915
GAL,2022-06-04,4.42079,4.44593,4.16692,4.35319
GAL,2022-06-05,4.34874,4.43649,4.24403,4.37488
GAL,2022-06-06,4.38288,4.69619,4.31533,4.45725
GAL,2022-06-07,4.45121,4.52619,4.02861,4.31046
GAL,2022-06-08,4.31155,4.34265,4.04737,4.11732
GAL,2022-06-09,4.12232,4.13435,3.83455,3.87175
GAL,2022-06-10,3.87071,3.9908,3.37928,3.49252
GAL,2022-06-11,3.49655,3.64106,3.01047,3.15543
GAL,2022-06-12,3.1554,3.39396,2.66027,3.04325
GAL,2022-06-13,3.04125,3.37534,2.5928,3.02279
GAL,2022-06-14,3.03278,3.17897,2.80363,2.83959
GAL,2022-06-15,2.84356,3.05027,2.61828,2.9975
GAL,2022-06-16,2.9977,3.06193,2.70505,2.77621
GAL,2022-06-17,2.66988,2.81288,2.62787,2.73042
GAL,2022-06-18,2.73674,2.75674,2.23376,2.41209
GAL,2022-06-19,2.41808,2.90422,2.30173,2.81534
GAL,2022-06-20,2.81262,2.94505,2.59189,2.68105
GAL,2022-06-21,2.67905,3.01828,2.62984,2.76595
GAL,2022-06-22,2.76895,2.80519,2.58941,2.65035
GAL,2022-06-23,2.65035,2.88231,2.56014,2.78461
GAL,2022-06-24,2.78122,3.07981,2.76104,3.00605
GAL,2022-06-25,3.001,3.0904,2.7925,3.04906
GAL,2022-06-26,3.04627,3.3263,2.87613,2.93938
GAL,2022-06-27,2.93951,2.98989,2.73888,2.83348
GAL,2022-06-28,2.8361,3.26473,2.77695,3.03366
GAL,2022-06-29,3.03323,3.08438,2.74621,3.02227
GAL,2022-06-30,3.01997,3.12106,2.65068,2.68238
GAL,2022-07-01,2.68487,2.902,2.6646,2.73129
GAL,2022-07-02,2.73099,2.78573,2.67569,2.74181
GAL,2022-07-03,2.74083,2.77351,2.6857,2.73085
GAL,2022-07-04,2.73167,2.87884,2.7128,2.87215
GAL,2022-07-05,2.87315,2.97123,2.71761,2.84668
GAL,2022-07-06,2.84726,2.87404,2.7469,2.84327
GAL,2022-07-07,2.84637,3.02017,2.82649,2.94733
GAL,2022-07-08,2.94803,3.13342,2.8489,2.90106
GAL,2022-07-09,2.90296,2.96402,2.86228,2.93014
GAL,2022-07-10,2.92985,2.93784,2.71067,2.76494
GAL,2022-07-11,2.75884,2.76474,2.61744,2.65051
GAL,2022-07-12,2.64532,2.64692,2.46663,2.5012
GAL,2022-07-13,2.5012,2.56823,2.29547,2.49206
GAL,2022-07-14,2.49295,2.6575,2.45573,2.60873
GAL,2022-07-15,2.60993,2.73046,2.57116,2.63881
GAL,2022-07-16,2.63891,2.74598,2.5146,2.68216
GAL,2022-07-17,2.68106,2.86151,2.64885,2.72689
GAL,2022-07-18,2.72755,3.23586,2.70109,2.97742
GAL,2022-07-19,2.97609,3.39537,2.9724,3.36764
GAL,2022-07-20,3.36784,3.45028,2.93814,3.07605
GAL,2022-07-21,3.07545,3.15106,2.86229,3.11165
GAL,2022-07-22,3.11558,3.19224,2.91472,2.96852
GAL,2022-07-23,2.9641,3.35103,2.90656,3.22841
GAL,2022-07-24,3.22802,3.62307,3.20016,3.29646
GAL,2022-07-25,3.29613,3.33147,2.93135,2.97324
GAL,2022-07-26,2.97314,2.9733,2.6644,2.73721
GAL,2022-07-27,2.7313,3.0388,2.70878,3.02193
GAL,2022-07-28,3.02122,3.36751,2.91941,3.26855
GAL,2022-07-29,3.26869,3.59885,3.1332,3.25293
GAL,2022-07-30,3.25503,4.24574,3.2278,3.69296
GAL,2022-07-31,3.71826,4.59315,3.51302,3.93691
GAL,2022-08-01,3.93718,4.26353,3.5685,3.60108
GAL,2022-08-02,3.60308,3.82088,3.38505,3.69163
GAL,2022-08-03,3.69163,4.01364,3.49787,3.95395
GAL,2022-08-04,3.95719,4.14608,3.58525,3.62311
GAL,2022-08-05,3.61311,4.00544,3.60414,3.85973
GAL,2022-08-06,3.86273,3.9838,3.79857,3.84785
GAL,2022-08-07,3.84889,3.85789,3.66192,3.79972
GAL,2022-08-08,3.80172,3.94375,3.68663,3.82446
GAL,2022-08-09,3.82146,4.07281,3.38964,3.56471
GAL,2022-08-10,3.56671,3.75121,3.40995,3.69407
GAL,2022-08-11,3.69611,3.84558,3.5143,3.56568
GAL,2022-08-12,3.56668,3.63181,3.45238,3.54763
GAL,2022-08-13,3.54563,3.68877,3.49657,3.54038
GAL,2022-08-14,3.54142,3.63438,3.27382,3.34804
GAL,2022-08-15,3.346,3.47794,3.22577,3.3258
GAL,2022-08-16,3.33077,3.38154,3.24529,3.3003
GAL,2022-08-17,3.3003,3.41844,2.98015,3.03121
GAL,2022-08-18,3.03121,3.11703,3.00727,3.04703
GAL,2022-08-19,3.05231,3.05231,2.506,2.63726
GAL,2022-08-20,2.64413,3.02945,2.6063,2.67097
GAL,2022-08-21,2.67095,2.8526,2.66087,2.80292
GAL,2022-08-22,2.80094,2.81708,2.57982,2.64455
GAL,2022-08-23,2.64358,2.75797,2.59997,2.73105
GAL,2022-08-24,2.73,2.82234,2.66787,2.75822
GAL,2022-08-25,2.76522,2.82489,2.69197,2.73708
GAL,2022-08-26,2.74008,2.75189,2.45798,2.51525
GAL,2022-08-27,2.51625,2.52125,2.39224,2.43007
GAL,2022-08-28,2.42407,2.5071,2.42205,2.46
GAL,2022-08-29,2.456,2.55813,2.32581,2.55618
GAL,2022-08-30,2.55526,2.60495,2.39826,2.45722
GAL,2022-08-31,2.4572,2.591,2.4432,2.55897
GAL,2022-09-01,2.55697,2.56303,2.41907,2.51485
GAL,2022-09-02,2.51685,2.57241,2.45312,2.49137
GAL,2022-09-03,2.4904,2.50828,2.45,2.463
GAL,2022-09-04,2.465,2.521,2.421,2.509
GAL,2022-09-05,2.509,2.548,2.414,2.43224
GAL,2022-09-06,2.43024,2.876,2.42224,2.57
GAL,2022-09-07,2.57,2.68905,2.32891,2.53218
GAL,2022-09-08,2.534,2.596,2.42524,2.48137
GAL,2022-09-09,2.482,3.3137,2.47335,3.21606
GAL,2022-09-10,3.21919,3.39092,2.88718,2.99057
GAL,2022-09-11,2.99457,3.34987,2.93073,2.95774
GAL,2022-09-12,2.95974,3.13763,2.83048,2.96259
GAL,2022-09-13,2.96353,2.97754,2.66711,2.82606
GAL,2022-09-14,2.81903,2.8404,2.57603,2.67167
GAL,2022-09-15,2.67169,2.7236,2.50277,2.56677
GAL,2022-09-16,2.56677,2.684,2.48575,2.67073
GAL,2022-09-17,2.66973,2.68,2.579,2.63526
GAL,2022-09-18,2.635,2.76728,2.36676,2.407
GAL,2022-09-19,2.405,2.54651,2.337,2.52225
GAL,2022-09-20,2.52225,2.56526,2.40248,2.45425
GAL,2022-09-21,2.441,2.59626,2.37724,2.454
GAL,2022-09-22,2.451,2.732,2.408,2.692
GAL,2022-09-23,2.692,2.962,2.605,2.839
GAL,2022-09-24,2.8438,2.88177,2.68797,2.70222
GAL,2022-09-25,2.703,2.87491,2.61897,2.61997
GAL,2022-09-26,2.623,2.71473,2.57697,2.673
GAL,2022-09-27,2.671,2.801,2.588,2.63274
GAL,2022-09-28,2.62774,2.661,2.49075,2.637
GAL,2022-09-29,2.638,2.68373,2.553,2.605
GAL,2022-09-30,2.607,2.64826,2.573,2.582
GAL,2022-10-01,2.57926,2.6,2.551,2.574
GAL,2022-10-02,2.571,2.61126,2.494,2.539
GAL,2022-10-03,2.53525,2.64226,2.446,2.58926
GAL,2022-10-04,2.59226,2.6678,2.59026,2.64279
GAL,2022-10-05,2.64653,2.6538,2.54325,2.59026
GAL,2022-10-06,2.58952,2.6964,2.58634,2.63447
GAL,2022-10-07,2.63445,2.65832,2.56405,2.61737
GAL,2022-10-08,2.61831,2.66951,2.57667,2.57967
GAL,2022-10-09,2.57864,2.62152,2.57449,2.61826
GAL,2022-10-10,2.61452,2.66127,2.51575,2.534
GAL,2022-10-11,2.536,2.536,2.39,2.40778
GAL,2022-10-12,2.40776,2.43456,2.31991,2.39007
GAL,2022-10-13,2.39402,2.39598,2.1297,2.37619
GAL,2022-10-14,2.37719,2.4161,2.22909,2.23609
GAL,2022-10-15,2.24109,2.29707,2.21122,2.24811
GAL,2022-10-16,2.24641,2.32498,2.21415,2.28109
GAL,2022-10-17,2.27911,2.36519,2.27409,2.33005
GAL,2022-10-18,2.33602,2.36907,2.16496,2.20811
GAL,2022-10-19,2.20522,2.21318,2.13504,2.174
GAL,2022-10-20,2.16998,2.17207,2.03686,2.06277
GAL,2022-10-21,2.06381,2.06486,1.92996,2.01416
GAL,2022-10-22,2.02114,2.0342,1.9532,1.99218
GAL,2022-10-23,1.98916,2.04368,1.94304,2.01866
GAL,2022-10-24,2.02304,2.05822,1.93334,1.95738
GAL,2022-10-25,1.95768,2.0967,1.94508,2.06436
GAL,2022-10-26,2.05518,2.12448,2.02837,2.06958
GAL,2022-10-27,2.0646,2.2124,2.04859,2.11913
GAL,2022-10-28,2.12313,2.18239,2.03014,2.15243
GAL,2022-10-29,2.15641,2.3437,2.13841,2.1815
GAL,2022-10-30,2.1775,2.35945,2.15239,2.18344
GAL,2022-10-31,2.18146,2.22642,2.10992,2.13883
GAL,2022-11-01,2.14187,2.17572,2.07459,2.09379
GAL,2022-11-02,2.09279,2.14357,1.9799,2.04988
GAL,2022-11-03,2.0449,2.5799,2.04188,2.40998
GAL,2022-11-04,2.416,2.50022,2.31579,2.4802
GAL,2022-11-05,2.4762,2.64813,2.37407,2.41214
GAL,2022-11-06,2.41212,2.4399,2.23525,2.25418
GAL,2022-11-07,2.24718,2.26218,2.13109,2.15326
GAL,2022-11-08,2.15565,2.19344,1.57398,1.72917
GAL,2022-11-09,1.72616,1.78788,1.32654,1.34889
GAL,2022-11-10,1.34814,1.74259,1.31755,1.61174
GAL,2022-11-11,1.60889,1.83153,1.46147,1.5487
GAL,2022-11-12,1.54615,1.56555,1.41744,1.45937
GAL,2022-11-13,1.45937,1.50689,1.37865,1.43599
GAL,2022-11-14,1.43599,1.47238,1.329,1.43599
GAL,2022-11-15,1.43677,1.56181,1.43099,1.47752
GAL,2022-11-16,1.48818,1.51323,1.41557,1.46065
GAL,2022-11-17,1.46264,1.49072,1.40867,1.42589
GAL,2022-11-18,1.42387,1.43586,1.38547,1.40239
GAL,2022-11-19,1.40437,1.41747,1.35455,1.40652
GAL,2022-11-20,1.40852,1.45725,1.35748,1.37391
GAL,2022-11-21,1.3779,1.38503,1.23172,1.26848
GAL,2022-11-22,1.26748,1.32639,1.22851,1.31439
GAL,2022-11-23,1.31495,1.66899,1.29644,1.45541
GAL,2022-11-24,1.4534,1.52743,1.43167,1.51271
GAL,2022-11-25,1.51471,1.54587,1.42898,1.46217
GAL,2022-11-26,1.46198,1.531,1.45815,1.48612
GAL,2022-11-27,1.48512,1.55008,1.47603,1.52203
GAL,2022-11-28,1.52003,1.56736,1.41526,1.55141
GAL,2022-11-29,1.54741,1.59506,1.51249,1.52842
GAL,2022-11-30,1.53043,1.60236,1.50697,1.58806
GAL,2022-12-01,1.58805,1.73009,1.56088,1.5931
GAL,2022-12-02,1.5951,1.59708,1.52617,1.57509
GAL,2022-12-03,1.57809,1.61319,1.4923,1.49915
GAL,2022-12-04,1.50015,1.53815,1.49315,1.50815
GAL,2022-12-05,1.50715,1.56919,1.48301,1.50903
GAL,2022-12-06,1.51003,1.53411,1.49513,1.502
GAL,2022-12-07,1.501,1.534,1.4151,1.429
GAL,2022-12-08,1.429,1.4581,1.37514,1.4341
GAL,2022-12-09,1.43511,1.44309,1.40307,1.41304
GAL,2022-12-10,1.41604,1.46703,1.41294,1.42397
GAL,2022-12-11,1.42599,1.44106,1.38228,1.38814
GAL,2022-12-12,1.38728,1.40414,1.31612,1.39613
GAL,2022-12-13,1.3971,1.41779,1.31435,1.40066
GAL,2022-12-14,1.40466,1.45077,1.37201,1.4061
GAL,2022-12-15,1.406,1.40828,1.36727,1.37227
GAL,2022-12-16,1.37127,1.39614,1.08611,1.16412
GAL,2022-12-17,1.16412,1.17312,1.0731,1.11414
GAL,2022-12-18,1.11616,1.13011,1.0651,1.08313
GAL,2022-12-19,1.08314,1.10219,1.00002,1.01598
GAL,2022-12-20,1.016,1.10198,1.01199,1.07904
GAL,2022-12-21,1.08004,1.08704,1.023,1.03505
GAL,2022-12-22,1.03604,1.06784,1.01791,1.05782
GAL,2022-12-23,1.05983,1.09487,1.05384,1.07989
GAL,2022-12-24,1.07889,1.08791,1.0679,1.08393
GAL,2022-12-25,1.08294,1.09587,1.04485,1.07484
GAL,2022-12-26,1.07287,1.08888,1.06089,1.07578
